pincode,month,age_0_5,age_5_17,age_18_greater,bio_load
500067,2025-03-01,1,2,0,3
500067,2025-04-01,5,2,0,7
500067,2025-05-01,1,0,0,1
500067,2025-06-01,1,0,0,1
500067,2025-08-01,2,1,0,3
500067,2025-12-01,6,1,1,8
500072,2025-01-01,1,1,0,2
500072,2025-03-01,2,0,0,2
500072,2025-06-01,1,0,0,1
500072,2025-07-01,1,0,0,1
500072,2025-09-01,2,0,0,2
500072,2025-11-01,1,0,0,1
500073,2025-04-01,1,0,0,1
500073,2025-11-01,1,1,0,2
500073,2026-01-01,0,1,1,2
500078,2025-02-01,1,0,0,1
500078,2025-11-01,1,1,0,2
500080,2025-05-01,2,2,0,4
500080,2025-06-01,1,0,0,1
500080,2025-07-01,0,2,0,2
500080,2025-08-01,5,0,0,5
500080,2025-09-01,3,0,0,3
500080,2025-10-01,1,0,0,1
500080,2025-12-01,2,0,0,2
500080,2026-01-01,2,0,0,2
500081,2025-08-01,3,1,0,4
500081,2025-09-01,0,2,0,2
500081,2025-11-01,0,2,0,2
500082,2025-03-01,1,0,0,1
500082,2025-11-01,0,1,0,1
500091,2025-05-01,2,0,0,2
500091,2025-09-01,1,1,0,2
500094,2025-02-01,1,0,0,1
500094,2025-04-01,1,2,0,3
500094,2025-06-01,1,0,0,1
500094,2025-07-01,0,0,2,2
500094,2025-09-01,8,0,1,9
500094,2025-10-01,2,1,0,3
500094,2025-11-01,1,0,1,2
500094,2025-12-01,2,2,0,4
500095,2025-02-01,1,0,0,1
500096,2025-06-01,1,0,0,1
500096,2025-08-01,0,1,0,1
